"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,Revisão e/ou copydesque,Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,"tradutor/a autônomo/a sem CNPJ., funcionário/a de uma empresa não especializada em tradução.","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Empresa onde sou funcionário/a",português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito sempre ou quase sempre., Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","corporativos / business, audiovisual (legendagem, dublagem)",Mais da metade do tempo,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim,  OmegaT","Sim, Google Tradutor., Sim, DeepL.","Uso para checar trechos que tive dificuldade de entender., Checo palavras e sinônimos",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Agência de tradução brasileira,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,trabalha na mesma empresa/agência que você.,Discordo totalmente.,Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, MemoQ","Sim, Google Tradutor.","Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 3 a 5 anos,Sim,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Editora",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, literário",Menos da metade do tempo,é nativa do inglês e conhece bem o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro.","Sim,  OmegaT",Não.,"Uso para checar trechos que tive dificuldade de entender., Uso para tentar encontrar sinônimos e opções de tradução que podem não ter me ocorrido, mas apenas em trechos muito curtos ou palavras",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 3 a 5 anos,Não,Revisão e/ou copydesque,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Não participo de nenhuma associação ou sindicato de tradutores., Já participei da Abrates e penso em voltar, quando me firmar na profissão.",Sim,Sim,"tradutor/a autônomo/a sem CNPJ., Sou MEI, e uso o CNPJ nos trabalhos de revisão, mas não nos de tradução.","Agência de tradução do exterior, Instituições budistas",português,espanhol,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,"Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,46 a 55 anos,parda,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,Sou engenheira ,Mestrado,Não fiz.,Não,Não,ABRATES,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.",todos,Raramente ou nunca,,Concordo parcialmente,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.",Uso para checar trechos que tive dificuldade de entender.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 15 a 20 anos,Não,"Revisão e/ou copydesque, aulas de literatura e consultoria acadêmica",Doutorado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Editora",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.","corporativos / business, setor cultural, acadêmicos - humanas e artes, audiovisual (legendagem, dublagem), literário",Menos da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português., é brasileira especializada no assunto da tradução.",Discordo parcialmente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, Wordfast","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender., Uso como ferramenta de pesquisa, não como ferramenta de tradução.",feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,"Ensino de línguas, Revisão e/ou copydesque",Mestrado,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,Cliente direto,inglês,português,Faço versão para o inglês e para outro(s) idioma(s).,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, jurídicos, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso não fosse muito caro.",Não uso.,Não.,,feminino,26 a 35 anos,branca,Brasil
tradutora e intérprete,de 15 a 20 anos,Sim,Interpretação,Ensino superior.,Não fiz.,Não,Não,TPIC - JUCESC,Sim,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Editora",inglês,português,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"todos, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Menos da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso).","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, Wordfast, MemSource",Não.,"Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Sim,Revisão e/ou copydesque,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Plataforma online de tradução (p.ex. ProZ), Grupo do Facebook ou similar",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), acadêmicos - humanas e artes, acadêmicos - ciências e exatas",Raramente ou nunca,,Concordo parcialmente,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim,  OmegaT",Não.,,masculino,até 25 anos,branca,Brasil
"""Sou XXX"".",de 1 a 3 anos,Não,Ensino de línguas,Mestrado,"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.",setor cultural,Mais da metade do tempo,"é nativa do inglês e conhece bem o português., é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concorda plenamente.,Concordo plenamente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.",Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",masculino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 1 a 3 anos,Sim,,Mestrado,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Plataforma online de tradução (p.ex. ProZ),português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, MemoQ, Alguns online, como WebTranslateIt e CrowdIn.","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",masculino,26 a 35 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 10 a 15 anos,Sim,Estatística,Pós-graduação lato sensu (especialização),Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque faço melhor a tradução para o inglês que para o português.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Menos da metade do tempo,é nativa do inglês e conhece bem o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Sim, Wordfast, Sim, MemoQ, Sim,  OmegaT",API paga do Google Translate integrada na CAT tool,"Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",feminino,46 a 55 anos,branca,EUA
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,"Interpretação, Interpretação é minha principal fonte de renda",Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se o prazo estiver folgado.","corporativos / business, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes",Raramente ou nunca,,Concordo parcialmente,Concordo parcialmente.,Não tenho interesse em fazer curso de versão.,SmartCat,Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,Ensino de línguas,Ensino superior.,"Sim, fiz bacharelado em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,funcionário/a de uma empresa ou agência de tradução.,Empresa onde sou funcionário/a,português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito sempre ou quase sempre., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","jurídicos, acadêmicos - ciências e exatas",Raramente ou nunca,trabalha na mesma empresa/agência que você.,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Memsource, smartling","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",masculino,até 25 anos,parda,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,"Ensino de línguas, Revisão e/ou copydesque",Mestrado,"Sim, fiz bacharelado em tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Plataforma online de tradução (p.ex. ProZ), Plataforma online (sem ser especializada em tradução), Grupo do Facebook ou similar",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,"Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem), literário",Sempre ou quase sempre,"é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concordo parcialmente,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, Wordfast, Sim,  OmegaT, SmartCat","Sim, DeepL.",Uso para checar trechos que tive dificuldade de entender.,feminino,até 25 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Não,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Agência de tradução brasileira,português,inglês,Faço versão para o inglês e para outro(s) idioma(s).,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, jurídicos, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,é brasileira que tem experiência na tradução para o inglês.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro.","Sim, MemoQ","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 3 a 5 anos,Sim,Aluguel,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque paga melhor que a tradução para o português.",Médica,Raramente ou nunca,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, SDL Trados",Não.,,feminino,36 a 45 anos,branca,Brasil
